Particle_ID	category	AED	min_circle	max_dia	AR	x	y	P	height	T	RH	border
20240320_090534_15_1	rosettes	60.44485066745322	369.6	317.5939270515102	1.4953271028037383	337.0	434.0	204.5	11279	-57.7	8	0.0
20240320_090546_16_1	columns	41.255300002858625	92.4	216.55267834871032	2.883720930232558	126.0	572.0	201.9	11360	-57.2	7	0.0
20240320_090546_16_2	irregular	37.83676776369291	181.5	189.0096426111641	1.0	193.0	544.0	201.9	11360	-57.2	7	0.0
20240320_090546_16_4	rosettes	47.137659863500744	224.4	229.84802043959397	1.010204081632653	308.0	524.0	201.9	11360	-57.2	7	0.0
20240320_090550_16_1	compact	9.851855180379046	29.7	42.581510071861	1.4	895.0	348.0	200.8	11394	-57.3	7	0.0
20240320_090550_16_2	rosettes	26.26428254203329	69.3	124.00274190516916	2.125	445.0	223.0	200.8	11394	-57.3	7	0.0
20240320_090551_16_1	compact	11.0147089439055	39.6	44.39695935534324	1.1111111111111112	200.0	346.0	200.5	11403	-57.3	7	0.0
20240320_090559_16_1	rosettes	69.36393723565274	346.5	372.713780936525	1.1125827814569536	272.0	248.0	198.4	11469	-57.3	7	0.0
20240320_090611_16_2	rosettes	66.50653792561246	372.9	345.0433668395902	1.2442748091603053	394.0	461.0	195.3	11569	-57.9	7	0.0
20240320_090636_17_1	rosettes	104.7928350823443	415.8	491.0489817726945	1.3166666666666667	252.0	479.0	189.4	11762	-57.7	5	0.0
20240320_090636_17_2	compact	48.40746626839749	234.3	227.87330361409164	1.1195652173913044	81.0	378.0	189.4	11762	-57.7	5	0.0
20240320_090636_17_6	compact	26.461513967068832	283.8	261.95016701655294	2.8846153846153846	880.0	15.0	189.4	11762	-57.7	5	1.0
20240320_090639_17_2	columns	32.14009347903893	158.39999999999998	189.43408484219515	1.3	966.0	281.0	188.8	11784	-57.1	4	0.0
20240320_090644_17_5	columns	7.676503711274108	356.4	341.06741269139155	1.8571428571428572	608.0	28.0	187.6	11823	-55.8	3	1.0
20240320_090646_17_4	columns	64.71015955732229	343.2	345.4770614671834	10.625	972.0	912.0	187.2	11838	-55.4	3	0.0
20240320_090646_17_5	irregular	30.986954044726467	201.3	178.03186512531963	1.459016393442623	72.0	401.0	187.2	11838	-55.4	3	0.0
20240320_090646_17_6	irregular	44.80002799612426	333.29999999999995	285.1255381406583	1.5425531914893618	179.0	305.0	187.2	11838	-55.4	3	0.0
20240320_090646_17_8	plates	30.762407940989018	72.6	159.40229766223572	2.0714285714285716	247.0	12.0	187.2	11838	-55.4	3	1.0
20240320_090649_17_1	compact	46.620054184433414	244.2	224.45458894841067	1.2738095238095237	210.0	336.0	186.6	11859	-54.8	2	0.0
